Feature,EventType,count,mean,std,median,q25,q75
max_dV_energy,Normal,3,6.795055147950361e-09,0.0,6.795055147950361e-09,6.795055147950361e-09,6.795055147950361e-09
max_dV_energy,LoadSwitch,20,0.00091292311296753,0.0007905485318943694,0.0007663990914926,0.000348937059568775,0.001078341188162275
max_dV_energy,SLG_Fault,30,0.28080549615013944,0.045420772390665096,0.2658779921756272,0.26084716648166856,0.27663910490867993
max_dV_energy,ThreePhase_Fault,30,0.2808054961501394,0.04542077239066509,0.2658779921756272,0.26084716648166867,0.27663910490867993
max_dI_energy,Normal,3,5.046125884028948e-09,1.0130852129388736e-24,5.046125884028947e-09,5.046125884028947e-09,5.046125884028947e-09
max_dI_energy,LoadSwitch,20,0.003106277085866185,0.002895506104178641,0.0024003812527328,0.001123641248044575,0.003402653397406
max_dI_energy,SLG_Fault,30,0.9360186429267991,0.6311671707890262,0.7493723066537085,0.4393393990294693,1.1799665511227386
max_dI_energy,ThreePhase_Fault,30,0.936018642926799,0.6311671707890262,0.7493723066537084,0.43933939902946934,1.1799665511227386
max_sag,Normal,3,4.127466146641723e-10,0.0,4.127466146641723e-10,4.127466146641723e-10,4.127466146641723e-10
max_sag,LoadSwitch,20,0.004290975743541854,0.004721299687330185,0.0023622712606306,0.00125263834906335,0.00504943132043735
max_sag,SLG_Fault,30,0.9336270696685756,0.03820978429214678,0.9390530956095082,0.9114284911083852,0.9608661468361677
max_sag,ThreePhase_Fault,30,0.9336270696685756,0.03820978429214675,0.9390530956095082,0.9114284911083852,0.9608661468361676
max_HF_ratio,Normal,3,0.7146528565109748,0.0,0.7146528565109748,0.7146528565109748,0.7146528565109748
max_HF_ratio,LoadSwitch,20,0.1888172779151326,0.09116352196876154,0.17199950155516225,0.1382611729347021,0.21094284103915603
max_HF_ratio,SLG_Fault,30,0.44153618236352415,0.06180343231043111,0.45599839158012456,0.3871248315795986,0.4881758753920881
max_HF_ratio,ThreePhase_Fault,30,0.44153618236356285,0.061803432310751624,0.4559983915796614,0.38712483158118893,0.4881758753922917
max_Res_ratio,Normal,3,0.135451560722805,0.0,0.135451560722805,0.135451560722805,0.135451560722805
max_Res_ratio,LoadSwitch,20,0.30268011870291045,0.02874847259205723,0.30693816331522694,0.27639341612936774,0.32091935764660445
max_Res_ratio,SLG_Fault,30,0.37176647022273096,0.02739375799380639,0.3675300938910788,0.35448329384879984,0.3851981065245087
max_Res_ratio,ThreePhase_Fault,30,0.37176647022270526,0.027393757993834235,0.3675300938911358,0.3544832938478036,0.385198106524963
max_V0_ratio,Normal,3,0.4618211698979163,0.0,0.4618211698979163,0.4618211698979163,0.4618211698979163
max_V0_ratio,LoadSwitch,20,0.2150449151139771,0.12727779247072735,0.18891449049484255,0.12405585652606879,0.24916582901996437
max_V0_ratio,SLG_Fault,30,0.4613022340401136,0.1480579101592543,0.47128122392935345,0.3162964813962671,0.5311465055390845
max_V0_ratio,ThreePhase_Fault,30,0.4613022340401136,0.1480579101592543,0.47128122392935345,0.3162964813962671,0.5311465055390846
max_I0_ratio,Normal,3,1.2604988580257733e-05,2.0747985160988132e-21,1.2604988580257734e-05,1.2604988580257734e-05,1.2604988580257734e-05
max_I0_ratio,LoadSwitch,20,3.854751091100062e-05,3.4293114005218804e-05,2.6375530026086244e-05,1.5283627823315677e-05,4.8243048182303774e-05
max_I0_ratio,SLG_Fault,30,0.8580566966422247,0.09166172436987097,0.873578821484003,0.8199750628510127,0.922920309118244
max_I0_ratio,ThreePhase_Fault,30,0.8580566966422247,0.09166172436987098,0.873578821484003,0.8199750628510126,0.922920309118244
max_V_unbalance,Normal,3,0.37596322124983067,6.798699777552591e-17,0.3759632212498306,0.3759632212498306,0.3759632212498306
max_V_unbalance,LoadSwitch,20,0.1627274099360392,0.10118874062302444,0.13182653667410876,0.098313709302849,0.2016070978335024
max_V_unbalance,SLG_Fault,30,0.3591031800895178,0.062269962363049595,0.3501630913128875,0.3075270860295579,0.3927324461830973
max_V_unbalance,ThreePhase_Fault,30,0.35910318008951786,0.062269962363049595,0.3501630913128875,0.3075270860295579,0.3927324461830973
max_I_unbalance,Normal,3,2.4752483232031626e-05,0.0,2.4752483232031626e-05,2.4752483232031626e-05,2.4752483232031626e-05
max_I_unbalance,LoadSwitch,20,0.0007493099396697001,0.00018167234650433764,0.0007133014548415,0.000707292311949975,0.00072094404931485
max_I_unbalance,SLG_Fault,30,1.0858319251752675,0.1810886092425975,1.1420121711883895,1.0204699448454466,1.2007345914223309
max_I_unbalance,ThreePhase_Fault,30,1.0858319251752673,0.18108860924259762,1.1420121711883895,1.0204699448454464,1.2007345914223309
max_Z_drop_ratio,Normal,3,3.082566570714834e-10,0.0,3.082566570714834e-10,3.082566570714834e-10,3.082566570714834e-10
max_Z_drop_ratio,LoadSwitch,20,0.1204898717558341,0.024977670132450176,0.12430600623610416,0.12427501635503324,0.12432798660501483
max_Z_drop_ratio,SLG_Fault,30,0.7603895133317548,0.11963974642668015,0.7953312429660373,0.7255642980227888,0.8322627790087789
max_Z_drop_ratio,ThreePhase_Fault,30,0.7603895133317548,0.11963974642668018,0.7953312429660373,0.7255642980227887,0.8322627790087789
min_liss_corr_abs_min,Normal,3,0.0225390903365725,0.0,0.0225390903365725,0.0225390903365725,0.0225390903365725
min_liss_corr_abs_min,LoadSwitch,20,0.10805979830969767,0.04736068235797054,0.1211566829211658,0.07957173518930814,0.13577532311731155
min_liss_corr_abs_min,SLG_Fault,30,0.04426117338441881,0.03360993195382571,0.03370359395920555,0.014355973335482324,0.07068945922992681
min_liss_corr_abs_min,ThreePhase_Fault,30,0.04426117338441882,0.033609931953825695,0.03370359395920555,0.014355973335482225,0.07068945922992674
max_liss_area_norm_min,Normal,3,6.167596597377259,1.0877919644084146e-15,6.16759659737726,6.16759659737726,6.16759659737726
max_liss_area_norm_min,LoadSwitch,20,6.166656833374242,0.07222682584783721,6.195724675864756,6.168449517003005,6.208738210101972
max_liss_area_norm_min,SLG_Fault,30,3.5502714755577602,0.4729308131628524,3.7280440442990828,3.0361099820110593,3.884224046591719
max_liss_area_norm_min,ThreePhase_Fault,30,3.550271475557762,0.4729308131628555,3.728044044299084,3.0361099820110633,3.8842240465917306
